#Denominación,Prog.,Econ.,Fecha,NIF,Nombre empresa,Descripción,Importe,Descuentos
Mantenimiento del sistema integrado de biblioteca,3321,21602,21/04/2016,B28078020,"3M ESPAÑA.,S.L.","SERVICIO MANTENIMIENTO SISTEMA ANTIHURTO, APROBADA CON DECRETO 777/2016 - NUMERO DE FAC.: 4011089 DE FECHA OPERACION: 23/03/2016 Y FECHA REG. INTERVENCIÓN: 11/02/2016 Y DECRETO DE ORDENACIÓN DEL PAGO Nº 858/2016",1129.88,0
Trienios,340,13106,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,334.98,111293.51
Trienios,340,13106,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,333.11,73185.05
Trienios,340,13106,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,334.98,107558.1
Trienios,340,13106,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,334.98,109671.26
Trienios,340,13106,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,334.98,108610.52
Trienios,340,13106,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,353.06,114215.95
Trienios,340,13106,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,353.06,116863.1
Trienios,340,13106,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,353.06,115894.54
Trienios,340,13106,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,351.02,74089.09
Trienios,340,13106,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,353.06,129688.08
Locomoción del personal,340,23101,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,44.35,163439.38
Locomoción del personal,340,23101,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,53.4,117085.4
Locomoción del personal,340,23101,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,28.5,110356.38
Locomoción del personal,340,23101,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,73.2,111293.51
Locomoción del personal,340,23101,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,92.01,107558.1
Locomoción del personal,340,23101,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,95.48,109671.26
Locomoción del personal,340,23101,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,20.4,114215.95
Locomoción del personal,340,23101,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,96.88,116863.1
Locomoción del personal,340,23101,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,28.8,115894.54
Locomoción del personal,340,23101,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,191.56,129688.08
Sueldos del Grupo C1,340,12003,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,727.23,105738.44
Sueldos del Grupo C1,340,12003,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,727.23,163439.38
Sueldos del Grupo C1,340,12003,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,727.23,117085.4
Sueldos del Grupo C1,340,12003,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,509.06,110356.38
Sueldos del Grupo C1,340,12003,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,727.23,111293.51
Sueldos del Grupo C1,340,12003,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,628.53,73185.05
Sueldos del Grupo C1,340,12003,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,727.23,107558.1
Sueldos del Grupo C1,340,12003,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,727.23,109671.26
Sueldos del Grupo C1,340,12003,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,727.23,108610.52
Sueldos del Grupo C1,340,12003,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,727.23,114215.95
Sueldos del Grupo C1,340,12003,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,727.23,116863.1
Sueldos del Grupo C1,340,12003,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,727.23,115894.54
Sueldos del Grupo C1,340,12003,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,628.53,74089.09
Sueldos del Grupo C1,340,12003,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,727.23,129688.08
Gratificaciones,340,15100,23/03/2016,W00000081,VARIOS,PAGO  RECONOCIMIENTO EXTRAJUDICIAL DE CRÉDITOS DE HORAS EXTRAORDINARIAS APROBADO EN EL PLENO DE FECHA 25/02/2016,240.37,0
Gratificaciones,340,15100,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,1485.55,117085.4
Gratificaciones,340,15100,26/05/2016,W00000081,VARIOS,PAGO  HORAS EXTRAORDINARIAS MES DE MAYO 2016,390,0
Gratificaciones,340,15100,27/09/2016,W00000081,VARIOS,RELACION HORAS EXTRA A ABONAR EN NOMINA DEL MES DE SEPTIEMBRE 2016,1249.55,0
Gratificaciones,340,15100,27/10/2016,W00000081,VARIOS,RELACION HORAS EXTRA A ABONAR EN NOMINA DEL MES DE OCTUBRE 2016,191.94,0
Gratificaciones,340,15100,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,65.13,114215.95
Retribuciones básicas,912,10000,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,31210.72,105738.44
Retribuciones básicas,912,10000,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,31210.72,163439.38
Retribuciones básicas,912,10000,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,31210.72,117085.4
Retribuciones básicas,912,10000,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,31210.72,110356.38
Retribuciones básicas,912,10000,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,32202.37,111293.51
Retribuciones básicas,912,10000,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,30200.41,73185.05
Retribuciones básicas,912,10000,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,32403.79,107558.1
Retribuciones básicas,912,10000,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,31183.81,109671.26
Retribuciones básicas,912,10000,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,31183.81,108610.52
Retribuciones básicas,912,10000,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,27022.17,114215.95
Retribuciones básicas,912,10000,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,30924.32,116863.1
Retribuciones básicas,912,10000,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,31183.72,115894.54
Retribuciones básicas,912,10000,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,27231.32,74089.09
Retribuciones básicas,912,10000,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,30583.37,129688.08
Gratificaciones,912,15100,23/12/2016,W00000081,VARIOS,GRATIFICACIONES DICIEMBRE 2016,4558.29,0
Locomoción de los miembros de los órganos de gobierno,912,23100,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,64.95,163439.38
Locomoción de los miembros de los órganos de gobierno,912,23100,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,3917.45,117085.4
Locomoción de los miembros de los órganos de gobierno,912,23100,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,1284.57,110356.38
Locomoción de los miembros de los órganos de gobierno,912,23100,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,1427.3,111293.51
Locomoción de los miembros de los órganos de gobierno,912,23100,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,2024.12,107558.1
Locomoción de los miembros de los órganos de gobierno,912,23100,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,1427.3,109671.26
Locomoción de los miembros de los órganos de gobierno,912,23100,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,1427.3,108610.52
Locomoción de los miembros de los órganos de gobierno,912,23100,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,1427.3,114215.95
Locomoción de los miembros de los órganos de gobierno,912,23100,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,1427.3,116863.1
Locomoción de los miembros de los órganos de gobierno,912,23100,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,1595.05,115894.54
Locomoción de los miembros de los órganos de gobierno,912,23100,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,1284.57,129688.08
Otras indemnizaciones de cargos electivos,912,23300,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,360,129688.08
Sueldos del Grupo A2,9201,12001,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,968.57,105738.44
Sueldos del Grupo A2,9201,12001,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,2179.07,163439.38
Sueldos del Grupo A2,9201,12001,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,968.57,117085.4
Sueldos del Grupo A2,9201,12001,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,968.57,110356.38
Sueldos del Grupo A2,9201,12001,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,968.57,111293.51
Sueldos del Grupo A2,9201,12001,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,706.38,73185.05
Sueldos del Grupo A2,9201,12001,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,968.57,107558.1
Sueldos del Grupo A2,9201,12001,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,968.57,109671.26
Sueldos del Grupo A2,9201,12001,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,968.57,108610.52
Sueldos del Grupo A2,9201,12001,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,968.57,114215.95
Sueldos del Grupo A2,9201,12001,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,968.57,116863.1
Sueldos del Grupo A2,9201,12001,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,968.57,115894.54
Sueldos del Grupo A2,9201,12001,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,706.38,74089.09
Sueldos del Grupo A2,9201,12001,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,968.57,129688.08
Sueldos del Grupo C1,9201,12003,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,727.23,105738.44
Sueldos del Grupo C1,9201,12003,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,727.23,163439.38
Sueldos del Grupo C1,9201,12003,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,727.23,117085.4
Sueldos del Grupo C1,9201,12003,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,727.23,110356.38
Sueldos del Grupo C1,9201,12003,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,727.23,111293.51
Sueldos del Grupo C1,9201,12003,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,628.53,73185.05
Sueldos del Grupo C1,9201,12003,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,727.23,107558.1
Sueldos del Grupo C1,9201,12003,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,727.23,109671.26
Sueldos del Grupo C1,9201,12003,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,727.23,108610.52
Sueldos del Grupo C1,9201,12003,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,727.23,114215.95
Sueldos del Grupo C1,9201,12003,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,727.23,116863.1
Sueldos del Grupo C1,9201,12003,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,727.23,115894.54
Sueldos del Grupo C1,9201,12003,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,628.53,74089.09
Sueldos del Grupo C1,9201,12003,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,727.23,129688.08
Sueldos del Grupo C2,9201,12004,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,1210.5,105738.44
Sueldos del Grupo C2,9201,12004,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,1210.5,117085.4
Sueldos del Grupo C2,9201,12004,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,1210.5,110356.38
Sueldos del Grupo C2,9201,12004,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,1210.5,111293.51
Sueldos del Grupo C2,9201,12004,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,1199.46,73185.05
Sueldos del Grupo C2,9201,12004,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,1210.5,107558.1
Sueldos del Grupo C2,9201,12004,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,1210.5,109671.26
Sueldos del Grupo C2,9201,12004,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,968.4,108610.52
Sueldos del Grupo C2,9201,12004,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,1210.5,114215.95
Sueldos del Grupo C2,9201,12004,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,1210.5,116863.1
Sueldos del Grupo C2,9201,12004,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,1210.5,115894.54
Sueldos del Grupo C2,9201,12004,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,1122.17,74089.09
Sueldos del Grupo C2,9201,12004,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,1210.5,129688.08
Trienios,9201,12006,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,576.5,105738.44
Trienios,9201,12006,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,576.5,163439.38
Trienios,9201,12006,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,576.5,117085.4
Trienios,9201,12006,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,594.58,110356.38
Trienios,9201,12006,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,594.58,111293.51
Trienios,9201,12006,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,503.58,73185.05
Trienios,9201,12006,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,594.58,107558.1
Trienios,9201,12006,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,612.66,109671.26
Trienios,9201,12006,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,583.73,108610.52
Trienios,9201,12006,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,612.66,114215.95
Trienios,9201,12006,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,612.66,116863.1
Trienios,9201,12006,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,612.66,115894.54
Trienios,9201,12006,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,512.25,74089.09
Trienios,9201,12006,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,612.66,129688.08
Complemento de destino,9201,12100,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,1720.07,105738.44
Complemento de destino,9201,12100,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,1720.07,163439.38
Complemento de destino,9201,12100,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,1720.07,117085.4
Complemento de destino,9201,12100,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,1720.07,110356.38
Complemento de destino,9201,12100,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,1720.07,111293.51
Complemento de destino,9201,12100,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,1720.07,73185.05
Complemento de destino,9201,12100,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,1720.07,107558.1
Complemento de destino,9201,12100,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,1720.07,109671.26
Complemento de destino,9201,12100,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,1596.84,108610.52
Complemento de destino,9201,12100,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,1720.07,114215.95
Complemento de destino,9201,12100,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,1720.07,116863.1
Complemento de destino,9201,12100,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,1720.07,115894.54
Complemento de destino,9201,12100,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,1779.9,74089.09
Complemento de destino,9201,12100,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,1720.07,129688.08
Complemento específico,9201,12101,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,3001.49,105738.44
Complemento específico,9201,12101,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,3001.49,163439.38
Complemento específico,9201,12101,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,3001.49,117085.4
Complemento específico,9201,12101,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,3001.49,110356.38
Complemento específico,9201,12101,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,3001.49,111293.51
Complemento específico,9201,12101,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,3001.49,73185.05
Complemento específico,9201,12101,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,3001.49,107558.1
Complemento específico,9201,12101,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,3001.49,109671.26
Complemento específico,9201,12101,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,2753.55,108610.52
Complemento específico,9201,12101,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,3001.49,114215.95
Complemento específico,9201,12101,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,3001.49,116863.1
Complemento específico,9201,12101,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,3001.49,115894.54
Complemento específico,9201,12101,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,2921.6,74089.09
Complemento específico,9201,12101,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,3133.84,129688.08
Salario base,9201,13000,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,5486.05,105738.44
Salario base,9201,13000,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,5486.05,163439.38
Salario base,9201,13000,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,5486.05,117085.4
Salario base,9201,13000,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,5219.4,110356.38
Salario base,9201,13000,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,4644.17,111293.51
Salario base,9201,13000,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,5272.09,73185.05
Salario base,9201,13000,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,5486.05,107558.1
Salario base,9201,13000,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,5405.36,109671.26
Salario base,9201,13000,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,5486.05,108610.52
Salario base,9201,13000,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,5405.35,114215.95
Salario base,9201,13000,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,5445.7,116863.1
Salario base,9201,13000,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,5405.35,115894.54
Salario base,9201,13000,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,5272.09,74089.09
Salario base,9201,13000,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,5486.05,129688.08
Otras remuneraciones,9201,13002,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,10241.36,105738.44
Otras remuneraciones,9201,13002,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,10059.71,163439.38
Otras remuneraciones,9201,13002,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,10059.71,117085.4
Otras remuneraciones,9201,13002,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,9964.95,110356.38
Otras remuneraciones,9201,13002,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,8858.18,111293.51
Otras remuneraciones,9201,13002,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,9923.04,73185.05
Otras remuneraciones,9201,13002,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,10196.38,107558.1
Otras remuneraciones,9201,13002,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,9883.19,109671.26
Otras remuneraciones,9201,13002,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,10059.71,108610.52
Otras remuneraciones,9201,13002,27/09/2016,W00000081,VARIOS,NOMINA DE SEPTIEMBRE 2016 SEGUN Dº 2326/2016,9938.81,114215.95
Otras remuneraciones,9201,13002,27/10/2016,W00000081,VARIOS,ABONO NOMINA OCTUBRE 2016 SEGUN Dº 2611/2016,9999.26,116863.1
Otras remuneraciones,9201,13002,29/11/2016,W00000081,VARIOS,ABONO NOMINA NOVIEMBRE Dº 2878/2016,9936.05,115894.54
Otras remuneraciones,9201,13002,05/12/2016,W00000081,VARIOS,PAGA EXTRA DICIEMBRE SEGUN Dº 2937/2016,9923.04,74089.09
Otras remuneraciones,9201,13002,23/12/2016,W00000081,VARIOS,ABONO NOMINA DICIEMBRE 2016 - SEGUN Dº 3136/2016,10059.71,129688.08
Trienios,9201,13006,28/01/2016,W00000081,VARIOS,RETRIBUCIONES MES DE ENERO 2016,1192.43,105738.44
Trienios,9201,13006,29/02/2016,W00000081,VARIOS,RETRIBUCIONES MES DE FEBRERO,1192.43,163439.38
Trienios,9201,13006,23/03/2016,W00000081,VARIOS,RETRIBUCIONES MES DE MARZO,1224.12,117085.4
Trienios,9201,13006,26/04/2016,W00000081,VARIOS,RETRIBUCIONES NOMINA MES DE ABRIL DECRETO  1118/2016,1165.25,110356.38
Trienios,9201,13006,26/05/2016,W00000081,VARIOS,PAGO RETRIBUCIOONES DEL PERSONAL MES DE MAYO,1034.68,111293.51
Trienios,9201,13006,03/06/2016,W00000081,VARIOS,RETRIBUCIONES PAGA EXTRA MES DE JUNIO,1173.15,73185.05
Trienios,9201,13006,24/06/2016,W00000081,VARIOS,RETRIBUCIONES MES DE JUNIO,1224.12,107558.1
Trienios,9201,13006,27/07/2016,W00000081,VARIOS,RETRIBUCIONES PERSONAL AYTO JULIO 2016 SEGUN Dº 1897/2016,1209.64,109671.26
Trienios,9201,13006,25/08/2016,W00000081,VARIOS,NOMINA AGOSTO 2016 - DECRETO 2116/2016,1224.12,108610.52
